,značka,středisko,položka,částka,podáno,proplaceno,redmine,popis
343,FO 346/2018,strana,212900001,-34690.00,2018-04-03,2018-04-03,,odměna KoKS VYS 03/2018
344,FO 347/2018,jiznimorava,220600401,-700.00,2018-04-03,2018-04-03,https://redmine.pirati.cz/issues/10200,Nákup fotobuněk s příslušenstvím
345,FO 348/2018,pardubicko,220800401,-14289.00,2018-04-03,2018-04-03,https://redmine.pirati.cz/issues/10201,Nákup projektoru
346,FO 349/2018,praha,220100542,-6650.00,2018-04-03,,,Odměna stínového zastupitele Víta Šimrala za 03/2018
347,FO 350/2018,strana,212900001,-20018.00,2018-04-03,2018-04-03,https://redmine.pirati.cz/issues/10206,odměna KoDo UsK 03/2018
348,FO 351/2018,praha,220100531,-8520.00,2018-04-03,,,Odměna asistenta senátora Michálka 02/2018
349,FO 352/2018,praha,220100531,"-10550,00",2018-04-03,,,Odměna asistenta senátora Michálka 03/2018
350,FO 353/2018,ustecko,221000600,-42090.00,2018-04-03,2018-04-03,https://redmine.pirati.cz/issues/10209,Nájem ÚPICE 04-09/2018
351,FO 354/2018,strana,212400001,-4999.65,2018-04-03,,https://redmine.pirati.cz/issues/10211,RV/Nečada/cestovné
352,FO 355/2018,vysocina,220700403,-11644.00,2018-04-03,2018-04-03,,Nájemné JiPiCe 04/2018
353,FO 356/2018,strana,212800001,-500.00,2018-04-03,2018-04-03,https://redmine.pirati.cz/issues/10213,Natáčení zastupitelstva 21. 2. 2018
354,FO 357/2018,strana,231172004,-5130.00,2018-04-03,2018-04-17,https://redmine.pirati.cz/issues/10214,Stůl koordinátora e-PIC
355,FO 358/2018,strana,212800001,-56000.00,2018-04-03,2018-04-06,,"odměna - PR Manager, 03/2017"
356,FO 359/2018,strana,212800001,-17156.00,2018-04-03,2018-04-06,https://redmine.pirati.cz/issues/10217,Odměna psavce za 3/2018 Jakub Dušánek
357,FO 360/2018,strana,212900001,-16545.00,2018-04-03,2018-04-06,https://redmine.pirati.cz/issues/10220,"Odměna - KoKS PlK, 03/2018"
358,FO 361/2018,moravskoslezsko,220400300,-8120.00,2018-04-03,2018-04-04,https://redmine.pirati.cz/issues/10224,nájem a služby OPICE 3_2018
359,FO 362/2018,strana,212900001,-29363.00,2018-04-04,2018-04-06,https://redmine.pirati.cz/issues/10229,odměna KoKS ZlK 03/2018
360,FO 363/2018,strana,212900001,-13789.00,2018-04-04,2018-04-06,https://redmine.pirati.cz/issues/10230,Odměna_KoKs_SčK_3/2018
361,FO 364/2018,strana,212900001,-24290.00,2018-04-04,2018-04-06,https://redmine.pirati.cz/issues/10232,"Odměna - KoKS JmK, 03/2018"
362,FO 365/2018,zlinsko,220500001,-1020.00,2018-04-04,2018-04-04,https://redmine.pirati.cz/issues/10231,Cestovné KoKS
363,FO 366/2018,zlinsko,220500001,-305.00,2018-04-04,2018-04-04,https://redmine.pirati.cz/issues/10234,Občerstvení/kandidáti
364,FO 367/2018,strana,212700001,-15000.00,2018-04-04,2018-04-06,,Odměna vedoucího FO 2018/03
365,FO 368/2018,strana,212700001,-30250.00,2018-04-04,2018-04-09,https://redmine.pirati.cz/issues/10236,Audit hospodaření 2017
366,FO 369/2018,ustecko,221000520,-36425.00,2018-04-04,2018-04-09,https://redmine.pirati.cz/issues/10237,"Pronájem poslanecké kanceláře, platba za jeden měsíc plus kauce."
367,FO 370/2018,praha,220100401,-11363.00,2018-04-04,2018-04-10,https://redmine.pirati.cz/issues/10310,"Odměna - KoKS Praha, 03/2018"
368,FO 371/2018,strana,212800001,-12000.00,2018-04-04,2018-04-06,,"odměna - konzultant MO, 03/2018"
369,FO 372/2018,strana,231172022,-4750.00,2018-04-04,2018-04-05,https://redmine.pirati.cz/issues/10251,Pirátské listy - Jarník KvK
370,FO 373/2018,karlovarsko,220200550,-6627.00,2018-04-04,2018-04-05,https://redmine.pirati.cz/issues/10252,Pirátské listy - Jarník KvK - doplatek kraj
371,FO 374/2018,strana,212900001,-25781.00,2018-04-04,2018-04-06,https://redmine.pirati.cz/issues/10253,"Odměna - KoKS OlK, 03/2018"
